gen,child,eps,Rg,err
12,12,[1.591300 0.638623 0.800191 2.629541 0.395793 1.175908 0.866874 0.995459 0.977294 0.673040 3.918499 1.053298 1.015057 1.224665 0.408461],30.417212,5.582788
13,1,[1.788002 1.005975 0.150574 2.905593 1.280593 1.222275 0.379063 0.858987 1.011233 0.430210 3.792304 1.259560 0.694551 2.704828 1.512906],20.560547,15.439453
13,2,[1.830784 0.169694 1.277964 3.304015 0.581023 1.410851 0.427820 1.236616 0.884321 0.590583 2.945029 1.962715 1.106358 0.479207 1.167782],22.630240,13.369760
13,3,[1.909656 0.563098 0.131453 2.766969 0.131453 1.013623 1.197180 0.832696 0.981597 0.853250 3.716300 1.287285 1.774379 1.367591 0.585086],22.935637,13.064363
13,4,[1.128346 0.486616 1.294455 2.782505 0.612333 0.479207 0.465822 0.256214 0.508365 1.027008 3.792304 0.370220 0.749761 1.805449 0.953872],22.226819,13.773181
13,5,[2.497371 0.673040 1.102055 2.283222 0.571463 1.087954 0.219885 0.679254 0.898184 0.305688 3.568117 0.661807 0.574570 1.255975 1.205784],22.860072,13.139928
13,6,[1.231597 1.039914 1.051625 2.671367 0.663719 0.571463 1.329350 0.446702 1.275096 0.539197 3.933317 1.522945 0.648901 1.466778 0.810229],26.526074,9.473926
13,7,[1.253585 0.827438 0.984226 3.315488 0.948136 0.700287 0.588910 0.993069 0.902008 0.619981 4.600143 1.451721 0.633604 1.598709 0.950526],21.499439,14.500561
13,8,[2.475860 0.574092 0.177103 2.566205 0.739962 0.706023 0.270076 0.501195 0.529876 1.032744 2.216061 0.921367 0.231119 2.229924 1.063815],24.265851,11.734149
13,9,[1.731358 0.332696 1.317400 2.395554 0.318356 1.638384 0.967256 1.362572 1.127629 1.418738 3.423279 0.325048 0.131453 1.913480 1.141969],23.297547,12.702453
13,10,[2.114245 1.372610 1.750717 3.154876 0.702677 0.693834 0.322419 0.488767 2.048996 0.212237 2.969407 1.776052 0.161329 1.157983 1.200048],24.424814,11.575186
